league_key,league_name,country,season,season_label,team_id,team_name,position,points,is_champion,is_top4,games_played,wins,draws,losses,goals_for,goals_for_avg,goals_against,goal_diff,goals_against_avg,goals_against_home,goals_against_away
EPL,Premier League,England,2023,2023/24,35,Bournemouth,12,48,0,0,38,13,9,16,54,1.421,67,-13,1.763,28,39
EPL,Premier League,England,2023,2023/24,36,Fulham,13,47,0,0,38,13,8,17,55,1.447,61,-6,1.605,24,37
EPL,Premier League,England,2023,2023/24,39,Wolves,14,46,0,0,38,13,7,18,50,1.316,65,-15,1.711,30,35
EPL,Premier League,England,2023,2023/24,45,Everton,15,40,0,0,38,13,9,16,40,1.053,51,-11,1.342,18,33
EPL,Premier League,England,2023,2023/24,55,Brentford,16,39,0,0,38,10,9,19,56,1.474,65,-9,1.711,34,31
EPL,Premier League,England,2023,2023/24,65,Nottingham Forest,17,32,0,0,38,9,9,20,49,1.289,67,-18,1.763,30,37
EPL,Premier League,England,2023,2023/24,1359,Luton,18,26,0,0,38,6,8,24,52,1.368,85,-33,2.237,37,48
EPL,Premier League,England,2023,2023/24,44,Burnley,19,24,0,0,38,5,9,24,41,1.079,78,-37,2.053,43,35
EPL,Premier League,England,2023,2023/24,62,Sheffield Utd,20,16,0,0,38,3,7,28,35,0.921,104,-69,2.737,57,47
LALIGA,La Liga,Spain,2022,2022/23,529,Barcelona,1,88,1,1,38,28,4,6,70,1.842,20,50,0.526,4,16
LALIGA,La Liga,Spain,2022,2022/23,541,Real Madrid,2,78,0,1,38,24,6,8,75,1.974,36,39,0.947,16,20
LALIGA,La Liga,Spain,2022,2022/23,530,Atletico Madrid,3,77,0,1,38,23,8,7,70,1.842,33,37,0.868,15,18
LALIGA,La Liga,Spain,2022,2022/23,548,Real Sociedad,4,71,0,1,38,21,8,9,51,1.342,35,16,0.921,16,19
LALIGA,La Liga,Spain,2022,2022/23,533,Villarreal,5,64,0,0,38,19,7,12,59,1.553,40,19,1.053,18,22
LALIGA,La Liga,Spain,2022,2022/23,543,Real Betis,6,60,0,0,38,17,9,12,46,1.211,41,5,1.079,18,23
LALIGA,La Liga,Spain,2022,2022/23,727,Osasuna,7,53,0,0,38,15,8,15,37,0.974,42,-5,1.105,21,21
LALIGA,La Liga,Spain,2022,2022/23,531,Athletic Club,8,51,0,0,38,14,9,15,47,1.237,43,4,1.132,15,28
LALIGA,La Liga,Spain,2022,2022/23,798,Mallorca,9,50,0,0,38,14,8,16,37,0.974,43,-6,1.132,12,31
LALIGA,La Liga,Spain,2022,2022/23,547,Girona,10,49,0,0,38,13,10,15,58,1.526,55,3,1.447,26,29
LALIGA,La Liga,Spain,2022,2022/23,728,Rayo Vallecano,11,49,0,0,38,13,10,15,45,1.184,53,-8,1.395,22,31
LALIGA,La Liga,Spain,2022,2022/23,536,Sevilla,12,49,0,0,38,13,10,15,47,1.237,54,-7,1.421,25,29
LALIGA,La Liga,Spain,2022,2022/23,538,Celta Vigo,13,43,0,0,38,11,10,17,43,1.132,53,-10,1.395,21,32
LALIGA,La Liga,Spain,2022,2022/23,724,Cadiz,14,42,0,0,38,10,12,16,30,0.789,53,-23,1.395,23,30
LALIGA,La Liga,Spain,2022,2022/23,546,Getafe,15,42,0,0,38,10,12,16,34,0.895,45,-11,1.184,20,25
LALIGA,La Liga,Spain,2022,2022/23,532,Valencia,16,42,0,0,38,11,9,18,42,1.105,45,-3,1.184,19,26
LALIGA,La Liga,Spain,2022,2022/23,723,Almeria,17,41,0,0,38,11,8,19,49,1.289,65,-16,1.711,22,43
LALIGA,La Liga,Spain,2022,2022/23,720,Valladolid,18,40,0,0,38,11,7,20,33,0.868,63,-30,1.658,25,38
LALIGA,La Liga,Spain,2022,2022/23,540,Espanyol,19,37,0,0,38,8,13,17,52,1.368,69,-17,1.816,35,34
LALIGA,La Liga,Spain,2022,2022/23,797,Elche,20,25,0,0,38,5,10,23,30,0.789,67,-37,1.763,29,38
LALIGA,La Liga,Spain,2023,2023/24,541,Real Madrid,1,95,1,1,38,29,8,1,87,2.289,26,61,0.684,9,17
LALIGA,La Liga,Spain,2023,2023/24,529,Barcelona,2,85,0,1,38,26,7,5,79,2.079,44,35,1.158,21,23
LALIGA,La Liga,Spain,2023,2023/24,547,Girona,3,81,0,1,38,25,6,7,85,2.237,46,39,1.211,20,26
LALIGA,La Liga,Spain,2023,2023/24,530,Atletico Madrid,4,76,0,1,38,24,4,10,70,1.842,43,27,1.132,22,21
LALIGA,La Liga,Spain,2023,2023/24,531,Athletic Club,5,68,0,0,38,19,11,8,61,1.605,37,24,0.974,18,19
LALIGA,La Liga,Spain,2023,2023/24,548,Real Sociedad,6,60,0,0,38,16,12,10,51,1.342,39,12,1.026,20,19
LALIGA,La Liga,Spain,2023,2023/24,543,Real Betis,7,57,0,0,38,14,15,9,48,1.263,45,3,1.184,19,26
LALIGA,La Liga,Spain,2023,2023/24,533,Villarreal,8,53,0,0,38,14,11,13,65,1.711,65,0,1.711,32,33
LALIGA,La Liga,Spain,2023,2023/24,532,Valencia,9,49,0,0,38,13,10,15,40,1.053,45,-5,1.184,14,31
LALIGA,La Liga,Spain,2023,2023/24,542,Alaves,10,46,0,0,38,12,10,16,36,0.947,46,-10,1.211,19,27
LALIGA,La Liga,Spain,2023,2023/24,727,Osasuna,11,45,0,0,38,12,9,17,45,1.184,56,-11,1.474,26,30
LALIGA,La Liga,Spain,2023,2023/24,546,Getafe,12,43,0,0,38,10,13,15,42,1.105,54,-12,1.421,22,32
LALIGA,La Liga,Spain,2023,2023/24,538,Celta Vigo,13,41,0,0,38,10,11,17,46,1.211,57,-11,1.5,23,34
LALIGA,La Liga,Spain,2023,2023/24,536,Sevilla,14,41,0,0,38,10,11,17,48,1.263,54,-6,1.421,27,27
LALIGA,La Liga,Spain,2023,2023/24,798,Mallorca,15,40,0,0,38,8,16,14,33,0.868,44,-11,1.158,16,28
LALIGA,La Liga,Spain,2023,2023/24,534,Las Palmas,16,40,0,0,38,10,10,18,33,0.868,47,-14,1.237,20,27
LALIGA,La Liga,Spain,2023,2023/24,728,Rayo Vallecano,17,38,0,0,38,8,14,16,29,0.763,48,-19,1.263,26,22
LALIGA,La Liga,Spain,2023,2023/24,724,Cadiz,18,33,0,0,38,6,15,17,26,0.684,55,-29,1.447,19,36
LALIGA,La Liga,Spain,2023,2023/24,723,Almeria,19,21,0,0,38,3,12,23,43,1.132,75,-32,1.974,36,39
LALIGA,La Liga,Spain,2023,2023/24,715,Granada CF,20,21,0,0,38,4,9,25,38,1.0,79,-41,2.079,32,47
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,157,Bayern Munich,1,71,1,1,34,21,8,5,92,2.706,38,54,1.118,17,21
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,165,Borussia Dortmund,2,71,0,1,34,22,5,7,83,2.441,44,39,1.294,17,27
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,173,RB Leipzig,3,66,0,1,34,20,6,8,64,1.882,41,23,1.206,18,23
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,182,Union Berlin,4,62,0,1,34,18,8,8,51,1.5,38,13,1.118,11,27
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,160,SC Freiburg,5,59,0,0,34,17,8,9,51,1.5,44,7,1.294,13,31
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,168,Bayer Leverkusen,6,50,0,0,34,14,8,12,57,1.676,49,8,1.441,23,26
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,169,Eintracht Frankfurt,7,50,0,0,34,13,11,10,58,1.706,52,6,1.529,18,34
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,161,VfL Wolfsburg,8,49,0,0,34,13,10,11,57,1.676,48,9,1.412,25,23
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,164,FSV Mainz 05,9,46,0,0,34,12,10,12,54,1.588,55,-1,1.618,25,30
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,163,Borussia Monchengladbach,10,43,0,0,34,11,10,13,52,1.529,55,-3,1.618,18,37
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,192,FC Koln,11,42,0,0,34,10,12,12,49,1.441,54,-5,1.588,20,34
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,167,1899 Hoffenheim,12,36,0,0,34,10,6,18,48,1.412,57,-9,1.676,29,28
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,162,Werder Bremen,13,36,0,0,34,10,6,18,51,1.5,64,-13,1.882,28,36
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,176,VfL BOCHUM,14,35,0,0,34,10,5,19,40,1.176,72,-32,2.118,32,40
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,170,FC Augsburg,15,34,0,0,34,9,7,18,42,1.235,63,-21,1.853,24,39
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,172,VfB Stuttgart,16,33,0,0,34,7,12,15,45,1.324,57,-12,1.676,22,35
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,174,FC Schalke 04,17,31,0,0,34,7,10,17,35,1.029,71,-36,2.088,36,35
BUNDESLIGA,Bundesliga,Germany,2022,2022/23,159,Hertha Berlin,18,29,0,0,34,7,8,19,42,1.235,69,-27,2.029,27,42
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,168,Bayer Leverkusen,1,90,1,1,34,28,6,0,89,2.618,24,65,0.706,11,13
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,172,VfB Stuttgart,2,73,0,1,34,23,4,7,78,2.294,39,39,1.147,15,24
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,157,Bayern Munich,3,72,0,1,34,23,3,8,94,2.765,45,49,1.324,12,33
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,173,RB Leipzig,4,65,0,1,34,19,8,7,77,2.265,39,38,1.147,12,27
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,165,Borussia Dortmund,5,63,0,0,34,18,9,7,68,2.0,43,25,1.265,22,21
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,169,Eintracht Frankfurt,6,47,0,0,34,11,14,9,51,1.5,50,1,1.471,21,29
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,167,1899 Hoffenheim,7,46,0,0,34,13,7,14,66,1.941,66,0,1.941,31,35
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,180,FC Heidenheim,8,42,0,0,34,10,12,12,50,1.471,55,-5,1.618,26,29
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,162,Werder Bremen,9,42,0,0,34,11,9,14,48,1.412,54,-6,1.588,26,28
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,160,SC Freiburg,10,42,0,0,34,11,9,14,45,1.324,58,-13,1.706,30,28
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,170,FC Augsburg,11,39,0,0,34,10,9,15,50,1.471,60,-10,1.765,26,34
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,161,VfL Wolfsburg,12,37,0,0,34,10,7,17,41,1.206,56,-15,1.647,25,31
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,164,FSV Mainz 05,13,35,0,0,34,7,14,13,39,1.147,51,-12,1.5,18,33
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,163,Borussia Monchengladbach,14,34,0,0,34,7,13,14,56,1.647,67,-11,1.971,26,41
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,182,Union Berlin,15,33,0,0,34,9,6,19,33,0.971,58,-25,1.706,30,28
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,176,Vfl Bochum,16,33,0,0,34,7,12,15,42,1.235,74,-32,2.176,29,45
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,192,1.FC Köln,17,27,0,0,34,5,12,17,28,0.824,60,-32,1.765,28,32
BUNDESLIGA,Bundesliga,Germany,2023,2023/24,181,SV Darmstadt 98,18,17,0,0,34,3,8,23,30,0.882,86,-56,2.529,44,42
SERIE_A,Serie A,Italy,2022,2022/23,492,Napoli,1,90,1,1,38,28,6,4,77,2.026,28,49,0.737,15,13
SERIE_A,Serie A,Italy,2022,2022/23,487,Lazio,2,74,0,1,38,22,8,8,60,1.579,30,30,0.789,18,12
SERIE_A,Serie A,Italy,2022,2022/23,505,Inter,3,72,0,1,38,23,3,12,71,1.868,42,29,1.105,14,28
SERIE_A,Serie A,Italy,2022,2022/23,489,AC Milan,4,70,0,1,38,20,10,8,64,1.684,43,21,1.132,20,23
SERIE_A,Serie A,Italy,2022,2022/23,499,Atalanta,5,64,0,0,38,19,7,12,66,1.737,48,18,1.263,26,22
SERIE_A,Serie A,Italy,2022,2022/23,497,AS Roma,6,63,0,0,38,18,9,11,50,1.316,38,12,1.0,15,23
SERIE_A,Serie A,Italy,2022,2022/23,496,Juventus,7,62,0,0,38,22,6,10,56,1.474,33,23,0.868,15,18
SERIE_A,Serie A,Italy,2022,2022/23,502,Fiorentina,8,56,0,0,38,15,11,12,53,1.395,43,10,1.132,22,21
SERIE_A,Serie A,Italy,2022,2022/23,500,Bologna,9,54,0,0,38,14,12,12,53,1.395,49,4,1.289,14,35
SERIE_A,Serie A,Italy,2022,2022/23,503,Torino,10,53,0,0,38,14,11,13,42,1.105,41,1,1.079,19,22
SERIE_A,Serie A,Italy,2022,2022/23,1579,Monza,11,52,0,0,38,14,10,14,48,1.263,52,-4,1.368,22,30
SERIE_A,Serie A,Italy,2022,2022/23,494,Udinese,12,46,0,0,38,11,13,14,47,1.237,48,-1,1.263,20,28
SERIE_A,Serie A,Italy,2022,2022/23,488,Sassuolo,13,45,0,0,38,12,9,17,47,1.237,61,-14,1.605,23,38
SERIE_A,Serie A,Italy,2022,2022/23,511,Empoli,14,43,0,0,38,10,13,15,37,0.974,49,-12,1.289,23,26
SERIE_A,Serie A,Italy,2022,2022/23,514,Salernitana,15,42,0,0,38,9,15,14,48,1.263,62,-14,1.632,26,36
SERIE_A,Serie A,Italy,2022,2022/23,867,Lecce,16,36,0,0,38,8,12,18,33,0.868,46,-13,1.211,24,22
SERIE_A,Serie A,Italy,2022,2022/23,515,Spezia,17,31,0,0,38,6,13,19,31,0.816,62,-31,1.632,30,32
SERIE_A,Serie A,Italy,2022,2022/23,504,Verona,18,31,0,0,38,7,10,21,31,0.816,59,-28,1.553,32,27
SERIE_A,Serie A,Italy,2022,2022/23,520,Cremonese,19,27,0,0,38,5,12,21,36,0.947,69,-33,1.816,31,38
SERIE_A,Serie A,Italy,2022,2022/23,498,Sampdoria,20,19,0,0,38,3,10,25,24,0.632,71,-47,1.868,28,43
SERIE_A,Serie A,Italy,2023,2023/24,505,Inter,1,94,1,1,38,29,7,2,89,2.342,22,67,0.579,11,11
SERIE_A,Serie A,Italy,2023,2023/24,489,AC Milan,2,75,0,1,38,22,9,7,76,2.0,49,27,1.289,17,32
SERIE_A,Serie A,Italy,2023,2023/24,496,Juventus,3,71,0,1,38,19,14,5,54,1.421,31,23,0.816,11,20
SERIE_A,Serie A,Italy,2023,2023/24,499,Atalanta,4,69,0,1,38,21,6,11,72,1.895,42,30,1.105,16,26
SERIE_A,Serie A,Italy,2023,2023/24,500,Bologna,5,68,0,0,38,18,14,6,54,1.421,32,22,0.842,12,20
SERIE_A,Serie A,Italy,2023,2023/24,497,AS Roma,6,63,0,0,38,18,9,11,65,1.711,46,19,1.211,19,27
SERIE_A,Serie A,Italy,2023,2023/24,487,Lazio,7,61,0,0,38,18,7,13,49,1.289,39,10,1.026,14,25
SERIE_A,Serie A,Italy,2023,2023/24,502,Fiorentina,8,60,0,0,38,17,9,12,61,1.605,46,15,1.211,22,24
SERIE_A,Serie A,Italy,2023,2023/24,503,Torino,9,53,0,0,38,13,14,11,36,0.947,36,0,0.947,9,27
SERIE_A,Serie A,Italy,2023,2023/24,492,Napoli,10,53,0,0,38,13,14,11,55,1.447,48,7,1.263,27,21
SERIE_A,Serie A,Italy,2023,2023/24,495,Genoa,11,49,0,0,38,12,13,13,45,1.184,45,0,1.184,22,23
SERIE_A,Serie A,Italy,2023,2023/24,1579,Monza,12,45,0,0,38,11,12,15,39,1.026,51,-12,1.342,26,25
SERIE_A,Serie A,Italy,2023,2023/24,504,Verona,13,38,0,0,38,9,11,18,38,1.0,51,-13,1.342,26,25
SERIE_A,Serie A,Italy,2023,2023/24,867,Lecce,14,38,0,0,38,8,14,16,32,0.842,54,-22,1.421,27,27
SERIE_A,Serie A,Italy,2023,2023/24,494,Udinese,15,37,0,0,38,6,19,13,37,0.974,53,-16,1.395,29,24
SERIE_A,Serie A,Italy,2023,2023/24,490,Cagliari,16,36,0,0,38,8,12,18,42,1.105,68,-26,1.789,32,36
SERIE_A,Serie A,Italy,2023,2023/24,511,Empoli,17,36,0,0,38,9,9,20,29,0.763,54,-25,1.421,23,31
SERIE_A,Serie A,Italy,2023,2023/24,512,Frosinone,18,35,0,0,38,8,11,19,44,1.158,69,-25,1.816,32,37
SERIE_A,Serie A,Italy,2023,2023/24,488,Sassuolo,19,30,0,0,38,7,9,22,43,1.132,75,-32,1.974,34,41
SERIE_A,Serie A,Italy,2023,2023/24,514,Salernitana,20,17,0,0,38,2,11,25,32,0.842,81,-49,2.132,38,43
LIGUE_1,Ligue 1,France,2022,2022/23,85,Paris Saint Germain,1,85,1,1,38,27,4,7,89,2.342,40,49,1.053,25,15
LIGUE_1,Ligue 1,France,2022,2022/23,116,Lens,2,84,0,1,38,25,9,4,68,1.789,29,39,0.763,13,16
LIGUE_1,Ligue 1,France,2022,2022/23,81,Marseille,3,73,0,1,38,22,7,9,67,1.763,40,27,1.053,24,16
LIGUE_1,Ligue 1,France,2022,2022/23,94,Rennes,4,68,0,1,38,21,5,12,69,1.816,39,30,1.026,14,25
LIGUE_1,Ligue 1,France,2022,2022/23,79,Lille,5,67,0,0,38,19,10,9,65,1.711,44,21,1.158,25,19
LIGUE_1,Ligue 1,France,2022,2022/23,91,Monaco,6,65,0,0,38,19,8,11,70,1.842,58,12,1.526,33,25
LIGUE_1,Ligue 1,France,2022,2022/23,80,Lyon,7,62,0,0,38,18,8,12,65,1.711,47,18,1.237,19,28
LIGUE_1,Ligue 1,France,2022,2022/23,99,Clermont Foot,8,59,0,0,38,17,8,13,45,1.184,49,-4,1.289,28,21
LIGUE_1,Ligue 1,France,2022,2022/23,84,Nice,9,58,0,0,38,15,13,10,48,1.263,37,11,0.974,18,19
LIGUE_1,Ligue 1,France,2022,2022/23,97,Lorient,10,55,0,0,38,15,10,13,52,1.368,53,-1,1.395,21,32
LIGUE_1,Ligue 1,France,2022,2022/23,93,Reims,11,51,0,0,38,12,15,11,45,1.184,45,0,1.184,23,22
LIGUE_1,Ligue 1,France,2022,2022/23,82,Montpellier,12,50,0,0,38,15,5,18,65,1.711,62,3,1.632,29,33
LIGUE_1,Ligue 1,France,2022,2022/23,96,Toulouse,13,48,0,0,38,13,9,16,51,1.342,57,-6,1.5,27,30
LIGUE_1,Ligue 1,France,2022,2022/23,106,Stade Brestois 29,14,44,0,0,38,11,11,16,44,1.158,54,-10,1.421,26,28
LIGUE_1,Ligue 1,France,2022,2022/23,95,Strasbourg,15,40,0,0,38,9,13,16,51,1.342,59,-8,1.553,26,33
LIGUE_1,Ligue 1,France,2022,2022/23,83,Nantes,16,36,0,0,38,7,15,16,37,0.974,55,-18,1.447,26,29
LIGUE_1,Ligue 1,France,2022,2022/23,108,Auxerre,17,35,0,0,38,8,11,19,35,0.921,63,-28,1.658,28,35
LIGUE_1,Ligue 1,France,2022,2022/23,98,Ajaccio,18,26,0,0,38,7,5,26,23,0.605,74,-51,1.947,30,44
LIGUE_1,Ligue 1,France,2022,2022/23,110,Estac Troyes,19,24,0,0,38,4,12,22,45,1.184,81,-36,2.132,30,51
LIGUE_1,Ligue 1,France,2022,2022/23,77,Angers,20,18,0,0,38,4,6,28,33,0.868,81,-48,2.132,36,45
LIGUE_1,Ligue 1,France,2023,2023/24,85,Paris Saint Germain,1,76,1,1,34,22,10,2,81,2.382,33,48,0.971,22,11
LIGUE_1,Ligue 1,France,2023,2023/24,91,Monaco,2,67,0,1,34,20,7,7,68,2.0,42,26,1.235,14,28
LIGUE_1,Ligue 1,France,2023,2023/24,106,Stade Brestois 29,3,61,0,1,34,17,10,7,53,1.559,34,19,1.0,14,20
LIGUE_1,Ligue 1,France,2023,2023/24,79,Lille,4,59,0,1,34,16,11,7,52,1.529,34,18,1.0,14,20
LIGUE_1,Ligue 1,France,2023,2023/24,84,Nice,5,55,0,0,34,15,10,9,40,1.176,29,11,0.853,11,18
LIGUE_1,Ligue 1,France,2023,2023/24,80,Lyon,6,53,0,0,34,16,5,13,49,1.441,55,-6,1.618,29,26
LIGUE_1,Ligue 1,France,2023,2023/24,116,Lens,7,51,0,0,34,14,9,11,45,1.324,37,8,1.088,18,19
LIGUE_1,Ligue 1,France,2023,2023/24,81,Marseille,8,50,0,0,34,13,11,10,52,1.529,41,11,1.206,13,28
LIGUE_1,Ligue 1,France,2023,2023/24,93,Reims,9,47,0,0,34,13,8,13,42,1.235,47,-5,1.382,18,29
LIGUE_1,Ligue 1,France,2023,2023/24,94,Rennes,10,46,0,0,34,12,10,12,53,1.559,46,7,1.353,26,20
LIGUE_1,Ligue 1,France,2023,2023/24,96,Toulouse,11,43,0,0,34,11,10,13,42,1.235,46,-4,1.353,25,21
LIGUE_1,Ligue 1,France,2023,2023/24,82,Montpellier,12,41,0,0,34,10,12,12,43,1.265,48,-5,1.412,23,25
LIGUE_1,Ligue 1,France,2023,2023/24,95,Strasbourg,13,39,0,0,34,10,9,15,38,1.118,50,-12,1.471,23,27
LIGUE_1,Ligue 1,France,2023,2023/24,83,Nantes,14,33,0,0,34,9,6,19,30,0.882,55,-25,1.618,30,25
LIGUE_1,Ligue 1,France,2023,2023/24,111,LE Havre,15,32,0,0,34,7,11,16,34,1.0,45,-11,1.324,19,26
LIGUE_1,Ligue 1,France,2023,2023/24,112,Metz,16,29,0,0,34,8,5,21,35,1.029,58,-23,1.706,27,31
LIGUE_1,Ligue 1,France,2023,2023/24,97,Lorient,17,29,0,0,34,7,8,19,43,1.265,66,-23,1.941,30,36
LIGUE_1,Ligue 1,France,2023,2023/24,99,Clermont Foot,18,25,0,0,34,5,10,19,26,0.765,60,-34,1.765,27,33
